DATE,SP500,US2
1982-09-14,516.6499999999994,
1982-09-15,517.1499999999994,
1982-09-16,516.4999999999993,
1982-09-17,515.5999999999993,
1982-09-20,516.3999999999994,
1982-09-21,519.2999999999994,
1982-09-22,515.1499999999994,
1982-09-23,516.7499999999993,
1982-09-24,515.8999999999994,
1982-09-27,516.9999999999993,
1982-09-28,515.2999999999994,
1982-09-29,512.8999999999994,
1982-09-30,512.2999999999994,
1982-10-01,513.0999999999993,
1982-10-04,513.6499999999994,
1982-10-05,513.4999999999993,
1982-10-06,518.4999999999993,
1982-10-07,523.0999999999993,
1982-10-08,525.0499999999994,
1982-10-11,528.7499999999993,
1982-10-12,526.9999999999993,
1982-10-13,530.5999999999993,
1982-10-14,527.8999999999994,
1982-10-15,528.2499999999993,
1982-10-18,531.6499999999994,
1982-10-19,530.3499999999993,
1982-10-20,534.3999999999994,
1982-10-21,534.0499999999994,
1982-10-22,531.3999999999994,
1982-10-25,526.3999999999994,
1982-10-26,529.1999999999994,
1982-10-27,528.1499999999994,
1982-10-28,526.8499999999993,
1982-10-29,527.4999999999993,
1982-11-01,530.3999999999994,
1982-11-02,531.7999999999994,
1982-11-03,536.7999999999994,
1982-11-04,536.9999999999993,
1982-11-05,536.1499999999994,
1982-11-08,535.1499999999994,
1982-11-09,538.7499999999993,
1982-11-10,534.6499999999994,
1982-11-11,537.0999999999993,
1982-11-12,533.7499999999993,
1982-11-15,529.8499999999993,
1982-11-16,529.6499999999994,
1982-11-17,531.6499999999994,
1982-11-18,532.1499999999994,
1982-11-19,529.1499999999994,
1982-11-22,525.6499999999994,
1982-11-23,525.4999999999993,
1982-11-24,526.7499999999993,
1982-11-26,527.8999999999994,
1982-11-29,526.5999999999993,
1982-11-30,531.5999999999993,
1982-12-01,531.0499999999994,
1982-12-02,531.7999999999994,
1982-12-03,532.0999999999993,
1982-12-06,536.2999999999994,
1982-12-07,536.6999999999994,
1982-12-08,534.2999999999994,
1982-12-09,532.6499999999994,
1982-12-10,532.1999999999994,
1982-12-13,533.4499999999994,
1982-12-14,528.7499999999993,
1982-12-15,528.2499999999993,
1982-12-16,528.1499999999994,
1982-12-17,530.7499999999993,
1982-12-20,529.0499999999994,
1982-12-21,533.0499999999994,
1982-12-22,532.1499999999994,
1982-12-23,532.9499999999994,
1982-12-27,536.8999999999994,
1982-12-28,534.4499999999994,
1982-12-29,535.1999999999994,
1982-12-30,533.3499999999993,
1982-12-31,533.9999999999993,
1983-01-03,531.1999999999994,
1983-01-04,534.6999999999994,
1983-01-05,535.0999999999993,
1983-01-06,539.1499999999994,
1983-01-07,539.1999999999994,
1983-01-10,540.8999999999994,
1983-01-11,540.0999999999993,
1983-01-12,540.1499999999994,
1983-01-13,540.2999999999994,
1983-01-14,540.2999999999994,
1983-01-17,540.6499999999994,
1983-01-18,540.5499999999994,
1983-01-19,538.4499999999994,
1983-01-20,539.8499999999993,
1983-01-21,536.0999999999993,
1983-01-24,533.8499999999993,
1983-01-25,534.3999999999994,
1983-01-26,534.3499999999993,
1983-01-27,538.4999999999993,
1983-01-28,537.5499999999994,
1983-01-31,539.3999999999994,
1983-02-01,535.4499999999994,
1983-02-02,536.2499999999993,
1983-02-03,537.0999999999993,
1983-02-04,540.5999999999993,
1983-02-07,540.7499999999993,
1983-02-08,538.3499999999993,
1983-02-09,538.3499999999993,
1983-02-10,542.1999999999994,
1983-02-11,540.9999999999993,
1983-02-14,543.1499999999994,
1983-02-15,541.5499999999994,
1983-02-16,540.4499999999994,
1983-02-17,541.2499999999993,
1983-02-18,541.4499999999994,
1983-02-22,538.4499999999994,
1983-02-23,540.7999999999994,
1983-02-24,543.8999999999994,
1983-02-25,543.1999999999994,
1983-02-28,541.3999999999994,
1983-03-01,544.6999999999994,
1983-03-02,544.7499999999993,
1983-03-03,545.4499999999994,
1983-03-04,545.8499999999995,
1983-03-07,545.7999999999993,
1983-03-08,543.2999999999994,
1983-03-09,545.0499999999993,
1983-03-10,543.1499999999994,
1983-03-11,543.4499999999994,
1983-03-14,543.8499999999993,
1983-03-15,544.0499999999994,
1983-03-16,540.7999999999994,
1983-03-17,540.9499999999994,
1983-03-18,541.9499999999994,
1983-03-21,543.8999999999994,
1983-03-22,542.6999999999994,
1983-03-23,546.2999999999994,
1983-03-24,546.4499999999994,
1983-03-25,544.7499999999993,
1983-03-28,544.7499999999993,
1983-03-29,543.8999999999994,
1983-03-30,546.1499999999994,
1983-03-31,543.4499999999994,
1983-04-04,544.7999999999993,
1983-04-05,543.3499999999993,
1983-04-06,542.9499999999994,
1983-04-07,543.3999999999994,
1983-04-08,543.4499999999994,
1983-04-11,546.6999999999994,
1983-04-12,547.1999999999994,
1983-04-13,547.9499999999994,
1983-04-14,549.9999999999993,
1983-04-15,549.7999999999994,
1983-04-18,550.6499999999994,
1983-04-19,549.5499999999994,
1983-04-20,551.7999999999994,
1983-04-21,551.3499999999993,
1983-04-22,551.3999999999994,
1983-04-25,549.7499999999993,
1983-04-26,553.7499999999993,
1983-04-27,553.4999999999993,
1983-04-28,554.8999999999994,
1983-04-29,555.8499999999993,
1983-05-02,554.6499999999994,
1983-05-03,554.7999999999993,
1983-05-04,555.7999999999994,
1983-05-05,556.4499999999994,
1983-05-06,559.0999999999995,
1983-05-09,558.6999999999994,
1983-05-10,558.6999999999994,
1983-05-11,557.5999999999993,
1983-05-12,556.7499999999993,
1983-05-13,557.4499999999994,
1983-05-16,555.8499999999993,
1983-05-17,556.1499999999994,
1983-05-18,554.6499999999994,
1983-05-19,553.7499999999993,
